Title,Description,Ingredients,Directions,Link
Cinnamon Roll Blondies,"These cinnamon roll blondies are everything you love about cinnamon rolls, just in an easy-to-make, chewy, cookie bar form.","['1/4 cup light brown sugar', '1 tablespoon ground cinnamon', '1/2 cup unsalted butter, melted and cooled slightly', '3/4 cup white sugar', '1/4 cup light brown sugar', '2 teaspoons vanilla extract', '3/4 teaspoon kosher salt', '1/4 teaspoon ground nutmeg', '1 large egg, at room temperature', '1 large egg yolk', '1 cup all-purpose flour', '1/4 teaspoon baking soda', '1 ounce full fat cream cheese, at room temperature', ""7 tablespoons confectioner's sugar, or as needed"", '1/4 teaspoon vanilla extract', '1 pinch salt', '3 tablespoons heavy cream, or as needed']","['Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.', 'For filling: in a small bowl, mix brown sugar and cinnamon together until thoroughly combined. Set aside.', 'For blondies: Whisk melted butter, white sugar, brown sugar, vanilla, salt, and nutmeg until thoroughly combined. Add in egg and egg yolk and mix until thoroughly combined. Add in flour and baking soda and mix until just incorporated.', 'Spread half the batter into an even layer in the prepared pan (it will be a somewhat thin layer). Sprinkle cinnamon-sugar mixture evenly over the batter. Place dollops of remaining batter over the cinnamon-sugar layer, and carefully spread into an even layer to cover cinnamon-sugar completely.', 'Bake in the preheated oven until bars begin to pull away from the sides of the pan, are puffed in the middle, and golden brown on top, 25 to 30 minutes. Allow bars to cool completely in the pan.', 'For glaze: beat cream cheese, powdered sugar, vanilla and salt together with an electric mixer until completely smooth. Add in heavy cream and beat until smooth. If glaze is too thick, add more heavy cream a small amount at a time; if glaze is too thin, add more powdered sugar until desired consistency is reached.', 'Pour glaze onto cooled bars and spread into an even layer. Cut into 16 bars.']",https://www.allrecipes.com/cinnamon-roll-blondies-recipe-8687135
Easy Slow Cooker Lasagna Soup,"This slow cooker lasagna soup has all the flavors you love from lasagna, thrown together in a slow cooker without all the work and cleanup. I like to add 1/2 pound of Italian sausage to this but it is not necessary.","['1 pound ground beef', '1 green bell pepper, chopped', '1 medium onion, chopped', '1 (14.5 ounce) can petite diced tomatoes', '1 (28 ounce) can can crushed tomatoes', '1 (32 ounce) carton beef broth', '1 (4 ounce) can sliced mushrooms', '1 1/2 tablespoons Italian seasoning', '5 lasagna noodles', '1/2 cup shredded mozzarella cheese', '4 dollops ricotta cheese\xa0(optional)']","['Crumble ground beef in a large skillet over medium heat. Cook and stir for 5 minutes. Drain.', 'Place beef in the bottom of a slow cooker. Add bell pepper, onion, diced tomatoes, crushed tomatoes, beef broth, mushrooms, and Italian seasoning. Cook on low 4 hours.', 'Add broken lasagna noodles. Cook on Low until noodles are tender, about 45 minutes more.', 'Ladle soup into serving bowls. Divide mozzarella cheese between the bowls. Top each bowl with a dollop of ricotta cheese.']",https://www.allrecipes.com/easy-slow-cooker-lasagna-soup-recipe-8685676
Chicken Chalupas,"These chicken chalupas use leftover chicken, which makes a great filling. Chalupas are small, boat-shaped flatbreads that can be filled very simply, or can be served with all the usual toppings for a taco. Choose your own toppings, or use any or all of the suggestions and enjoy this south-of-the-border treat!","['3 cups all-purpose flour', '4 teaspoons baking powder', '1 teaspoon kosher salt', '1 1/4 cups whole milk', '2 tablespoons melted butter', '2 cups chopped iceberg lettuce', '1 cup chopped tomatoes', '1 cup shredded Cheddar cheese, or to taste', 'Optional toppings, such as pico de gallo, sour cream, or sliced avocados, to taste', '1 cup refried beans', '1 1/2 cups shredded cooked chicken', '2 tablespoons taco seasoning', 'oil for frying']","['To make the chalupa shells, combine flour, baking powder, and salt in a medium mixing bowl. Stir well to combine the dry ingredients.', 'Gradually pour in milk, while stirring, until you need to use your hand to knead. Add in the melted butter, and knead well.', 'Shape dough into 6 equal balls. Sprinkle flour over a work surface and flour the rolling pin. Roll each dough ball into about a 7-inch circle, moving the dough a quarter turn after a couple of passes with the rolling pin. Add more flour to the work surface and rolling pin if dough sticks.', 'Keep rolled dough circles under a clean, damp kitchen towel until ready to fry.', 'Set up stations of chopped lettuce, chopped tomatoes, shredded cheese, and any optional toppings you plan to use, and place in a convenient array for assembling the chalupas.', 'Microwave refried beans on medium setting until soft and spreadable, about 1 minute, and add as the first station to your other ingredients.', 'Warm shredded chicken briefly in the microwave or in a skillet, and toss with taco seasoning mix, and add as the second station to the other ingredients.', 'To fry chalupa shells, add cooking oil to a depth of about 1/4-inch to a large, nonstick skillet. Heat oil over medium heat, and when the oil is hot, fry one side of one dough circle until lightly brown, about 1 minute.Using tongs, lift the partially cooked shell from the skillet and place only half of the uncooked side into the oil. Carefully hold half of the shell away from the oil, until the first half is browned, about 1 minute, then brown the other half. Repeat until all the shells are done.', 'To keep the bent shape, place fried chalupa shells into a taco holder until ready to fill.', 'To serve, spread each chalupa shell with about 2 tablespoons refried beans, and fill with 2 or 3 tablespoons seasoned shredded chicken. Fill with lettuce, tomatoes, and cheese.', 'Garnish with optional toppings, such as pico de gallo, sour cream, and sliced avocados, if desired. Serve immediately.']",https://www.allrecipes.com/chicken-chalupas-recipe-8681727
Salad Kit Spring Rolls with Sesame Dipping Sauce,"Need to get a head start on dinner tonight? Start with a salad kit, add veggies and a dipping sauce, and your main dish is done in 20.","['3 tablespoons mirin', '1 tablespoon less-sodium soy sauce', '1 (10 to 13 ounce) Asian-style salad kit with sesame dressing', '8 (8 inch) round rice papers', '16 medium cooked shrimp (41 to 50 per pound) - peeled, deveined, and halved lengthwise', '2/3 cup chopped seeded cucumber', '1/2 cup chopped fresh cilantro', 'sliced green onions, for garnish']","['For dipping sauce, stir together mirin, soy sauce, and sesame dressing from salad kit in a small bowl.', 'Line a tray with damp paper towels. Put a clean, slightly damp kitchen towel on a work surface. Fill a shallow dish with cold water.', 'Working one at a time, soak a rice paper in cold water just until it starts to soften, about 30 seconds, and transfer to prepared work surface. Arrange 4 shrimp halves, about 1/3 cup salad kit greens, a few pieces of cucumber, and 1 tablespoon cilantro on bottom third of rice paper, leaving a 1-inch border. Bring up bottom edge of rice paper to cover filling. Fold in sides and roll up tightly.', 'Transfer roll to prepared tray; cover with additional damp paper towels to prevent drying. Repeat soaking, filling, and rolling with remaining rice papers, shrimp, greens, cucumber, and cilantro, leaving space between rolls to prevent sticking. Garnish dipping sauce with green onions and serve with spring rolls.']",https://www.allrecipes.com/salad-kit-spring-rolls-with-sesame-dipping-sauce-recipe-8691196
"Turkey Sausage, Potato, Brussels Sprouts, and Apple Hash","Juicy apples, hearty Brussels sprouts, and fragrant sage add fall flair to this hash.","['1 tablespoon olive oil', '1 tablespoon butter', '8 ounces Brussels sprouts, trimmed and halved (quartered if large)', '2 medium russet potatoes,\xa0cut into 1/2-inch pieces', '1 pound bulk turkey sausage', '1 onion, chopped', '2 tablespoons chopped fresh sage', '1/2 teaspoon freshly ground black pepper', '1/4 teaspoon salt', '1 red apple, cored and chopped', '4 fried eggs (see Tip)']","['Heat oil and butter in a large skillet over medium heat. Cook Brussels sprouts and potatoes, stirring occasionally, until browned and nearly tender, about 10 minutes. Transfer Brussels sprouts and potatoes to a medium bowl using a slotted spoon.', 'Cook sausage and onion in same skillet, stirring and breaking up lumps, until sausage is lightly browned, about 6 minutes. Stir in sage, pepper, and salt.', 'Return Brussels sprouts and potatoes to skillet. Stir in apple. Reduce heat to medium-low; cook, stirring occasionally, until apple is crisp-tender, about 8 minutes. Top each serving with a fried egg.']",https://www.allrecipes.com/turkey-sausage-potato-brussels-sprouts-and-apple-hash-recipe-8690240
Baked Turkey Curry Empanadas,"These baked turkey curry empanadas are from blogger, recipe developer, mom, and Allrecipes Allstar Amy Shen. She’s all about sharing low-fuss (or no-fuss) recipes, and this is one of her favorite quick, flavorful appetizers.","['3 cups all purpose flour', '3/4 teaspoon kosher salt', '14 tablespoons unsalted butter', '1/2 cup ice water', '1 tablespoon vegetable oil', '1/2 cup yellow onion', '4 tablespoons curry powder', '1 pound ground turkey', '1/4 cup soy sauce', '1 large egg yolk', '1 tablespoon water', '1/4 cup mayonnaise', '2 tablespoons Greek-style yogurt', '2 tablespoons mango chutney']","['Stir together flour and salt in a large bowl. Cut butter into flour mixture with a pastry blender or fork until pea-size pieces form. Mix in ice water, 1 to 2 tablespoons at a time, just until dough comes together. (Dough should hold together when gently squeezed.) Divide dough into 2 portions; wrap each in plastic wrap. Chill at least 1 hour or up to 2 days.', 'Heat oil in a large skillet over medium-high heat. Cook onion, stirring frequently, until tender, about 4 minutes. Stir in 1 tablespoon curry powder and cook until fragrant, about 1 minute.', 'Add ground turkey, soy sauce, and remaining 3 tablespoons curry powder. Cook, stirring and breaking up lumps, until turkey is browned, about 8 minutes. Remove from heat; let filling cool completely.', 'Preheat the oven to 450 degrees F (230 degrees C). Line a large baking sheet with parchment paper. Working with one portion of dough at a time, remove plastic and roll out dough on a lightly floured surface to 1/8-inch thickness. Use a 3 1/2-inch round cutter to cut out circles, rerolling scraps as needed. Repeat with remaining dough until you have 24 circles.', 'Holding a dough circle in your palm, add 1 heaping tablespoon filling. Fold dough over filling and pinch (or use a fork) to seal edges. Repeat with remaining dough circles and filling. Arrange empanadas about 1/2- inch apart on the prepared baking sheet.', 'Beat together egg yolk and water in a small bowl; brush onto empanadas. Prick each empanada with a fork to vent. Bake until golden brown and crisp, 15 to 18 minutes. Let cool slightly.', 'Meanwhile, for creamy mango sauce, stir mayonnaise, yogurt, and mango chutney together; serve with empanadas.']",https://www.allrecipes.com/baked-turkey-curry-empanadas-recipe-8690079
Individual Bourbon-Pecan French Toast Bakes,"Bourbon, vanilla, cinnamon, maple syrup, and a toasted pecan butter unite to create a decadent breakfast.","['1 cup whole milk', '4 large eggs', '2 tablespoons pure maple syrup', '2 tablespoons Bourbon whiskey', '1 teaspoon vanilla extract', '5 1/2 teaspoons ground cinnamon', '1/4 teaspoon salt', '4 cups dry whole-grain or challah bread cubes (see From the Editor, below)', '1/2 cup chopped pecans', '1 cup butter, softened', '1/4 cup packed light brown sugar', '1 teaspoon vanilla extract', '1/4 cup all-purpose flour', '1/4 cup packed brown sugar', '1/4 cup butter, cubed', '1/4 cup chopped pecans', 'confectioners sugar, for garnish']","['Grease 4 (8 to 10 ounce) ramekins. Whisk together milk, eggs, maple syrup, bourbon, vanilla, cinnamon, and salt in a large bowl. Add bread. Toss to combine. Divide among prepared ramekins. Chill, covered, at least 2 hours or up to overnight.', 'Meanwhile, make Toasted Pecan Butter: Preheat the oven to 325 degrees F (165 degrees C). Spread pecans on a rimmed baking sheet.', 'Toast in the preheated oven, stirring once or twice, until lightly browned and fragrant, 12 to 15 minutes. Watch closely so they don’t burn. Let cool to room temperature.', 'Pulse butter, brown sugar, and vanilla in a food processor until combined. Add cooled pecans. Pulse until mixture reaches desired consistency. Chill Toasted Pecan Butter in an airtight container up to 1 month.', 'To assemble: Preheat the oven to 350 degrees F (175 degrees C). For streusel, stir together flour and brown sugar in a medium bowl. Cut in butter with a pastry blender or 2 knives until mixture resembles coarse crumbs; stir in pecans. Sprinkle streusel over bread mixture in ramekins.', 'Bake in the preheated oven until puffed and a knife inserted into centers comes out clean, about 30 minutes. Serve warm with Toasted Pecan Butter and garnish with powdered sugar.']",https://www.allrecipes.com/individual-bourbon-pecan-french-toast-bakes-recipe-8690600
Smoked Salmon Breakfast Casserole,"Rye bagels, hot-smoked salmon, and cream cheese combine for a stick-to-your-ribs egg bake. If you can’t find rye bagels at the supermarket, look for them at local bakeries.","['6 rye bagels - split, toasted, and cut into 1/2-inch pieces', '2 cups shredded Swiss or provolone cheese', '1 (8 ounce) package cream cheese, cut into 1/2-inch pieces', '8 ounces hot-smoked salmon, skin removed, coarsely flaked', '8 large eggs, lightly beaten', '2 cups whole milk', '1/2 cup sour cream, plus more for serving', '1/4 cup chopped fresh dill, plus more for garnish', 'capers and lemon wedges, for serving']","['Preheat the oven to 325 degrees F (165 degrees C). Coat a 9x13-inch baking dish with cooking spray.', 'Spread half of the toasted bagel pieces in prepared dish. Top with 1 1/2 cups Swiss cheese, the cream cheese, and smoked salmon. Top with remaining bagel pieces.', 'Whisk together eggs, milk, sour cream, and dill in a bowl. Pour over mixture in baking dish. Press bagel pieces with the back of a spoon to coat in egg mixture.', 'Bake in the preheated oven for 45 minutes. Sprinkle with remaining 1/2 cup cheese. Bake 5 to 10 minutes more, until set and an instant-read thermometer inserted into center of casserole registers 160 degrees F (71 degrees C). Let stand about 10 minutes before serving. Garnish with additional dill and serve with capers, lemon wedges, and/or additional sour cream.']",https://www.allrecipes.com/smoked-salmon-breakfast-casserole-recipe-8690566
Apple Spice Rolls,​​A buttery apple filling and apple pie spice provide a sweet departure from traditional cinnamon rolls.,"['6 tablespoons plus 1/3 cup butter, softened, divided', '2 cups Braeburn or Granny Smith apples - peeled, cored, and finely chopped (2 cups)', '4 1/4 cups flour, plus more as needed', '1 (0.25 ounce) packet dry yeast', '1 cup whole milk', '1 cup mashed potato', '1/3 cup white sugar', '1 teaspoon salt', '2 large eggs', '1 cup packed brown sugar', '4 teaspoons apple pie spice or ground cinnamon', '2/3 cup  heavy cream', '3 ounces cream cheese, softened', '2 tablespoons butter, softened', '1 teaspoon vanilla extract', '1/2 teaspoon apple pie spice', '1 pinch salt', '2 1/2 cups confectioners sugar', '1 teaspoon whole milk, or more as needed']","['Melt 1 tablespoon butter in a large skillet over medium heat. Cook apples, stirring occasionally, until tender, 5 to 8 minutes. Transfer to a bowl; let cool completely.', 'Stir together 1 1/2 cups flour and the yeast in the bowl of a stand mixer fitted with a dough hook.', 'Heat 5 tablespoons butter, the milk, potato, white sugar, and salt in a saucepan over medium heat, stirring occasionally, until just warm (120 to 130 degrees F (49 to 54 degrees C)) and butter almost melts. Pour into bowl with flour mixture; add eggs.', 'Mix at low speed 30 seconds, stopping to scrape bowl as needed. Beat at high speed 3 minutes. Mix in remaining 2 3/4 cups flour. Knead in stand mixer, adding up to 1/2 cup more flour as needed to make a soft, elastic, sticky dough, about 3 minutes.', 'Form dough into a ball and put in a large, lightly greased bowl, turning to coat. Let rise, covered, in a warm place (75 to 80 degrees F (24 to 27 degrees C)) until doubled in size, 45 to 60 minutes.', 'Punch dough down. Turn out onto a lightly floured surface. Let rest, covered, about 10 minutes. Meanwhile, lightly grease a 9x13-inch baking dish. For filling, stir together brown sugar and apple pie spice in a small bowl.', 'Uncover dough, then roll into a 12x18-inch rectangle. Spread with remaining 1/3 cup butter. Sprinkle with filling and apples, leaving a 1-inch border along one long side. Starting on the end opposite the border, tightly roll up dough to form a log; pinch seam to seal. Cut crosswise into 12 equal portions; arrange in prepared dish. Let rise, covered, in a warm place (75 degrees F to 80 degrees F) until nearly doubled in size, 30 to 45 minutes.', 'Preheat the oven to 375 degrees F (190 degrees C). Pour heavy cream evenly over rolls. Put a very large foil-lined baking sheet on oven rack under baking dish to catch drips.', 'Bake in the preheated oven until browned, 23 to 28 minutes. Let cool in pan on a wire rack 10 minutes.', 'Meanwhile, for cream cheese frosting, beat cream cheese, butter, vanilla, apple pie spice, and salt together in a bowl with an electric mixer at medium speed until combined. Gradually beat in confectioner’s sugar until smooth. Beat in enough whole milk, 1 teaspoon at a time, to reach desired spreading consistency.', 'Spread rolls with cream cheese frosting; serve warm.']",https://www.allrecipes.com/apple-spice-rolls-recipe-8690218
Buttermilk Ranch,"This buttermilk ranch dressing will easily become your go-to dressing and dipper, and it's easy to make at home.","['1/2 cup buttermilk', '1/2 cup sour cream', '1/4 cup mayonnaise', '1/4 cup chopped chives', '2 tablespoons chopped fresh dill', '2 teaspoons minced garlic', '2 teaspoons Dijon mustard', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper']","['Whisk together buttermilk, sour cream, mayonnaise, chives, dill, garlic, mustard, salt, and pepper in a medium bowl. Chill, covered, up to 5 days.']",https://www.allrecipes.com/buttermilk-ranch-recipe-8690068
Little Gem Salad,"This salad with Little Gem lettuce, radishes, and plenty of fresh herbs will be a hit at any party.","['3 heads Little Gem lettuce, torn (12 cups)', '1/2 cup chopped fresh parsley and/or chives', '1/2 cup chopped fresh dill, tarragon, and/or mint', '1 1/3 cups purchased ranch dressing', '3/4 cup thinly sliced radishes', '1/3 cup Pickled Red Onions (see recipe below) or purchased pickled red onions', '1/4 cup salted dry-roasted sunflower kernels', '1/4 teaspoon cracked black pepper']","['Put lettuce, parsley, and dill in a large bowl. Add 1/2 cup dressing; toss to coat. Top with radishes, pickled onions, sunflower kernels, and pepper. Serve with remaining dressing.']",https://www.allrecipes.com/little-gem-salad-recipe-8690065
Summer Nights Eggplants,"I named this recipe after the beautiful summer nights I spent with my family on the balcony eating this tasty recipe, because at this season in Greece we have plenty of eggplants and cook them in various ways.","['2  large eggplants', '½ cup olive oil for frying', '2 medium onions, chopped', '2 cloves garlic, minced', '2 small tomatoes, chopped', '1  green bell pepper, seeded and chopped', '1 tablespoon chopped fresh parsley', 'salt and pepper to taste', '4 cups dry bread crumbs', '1 cup crumbled feta cheese']","[""Remove the leaves from the eggplants, and slice in half lengthwise. Carefully scoop out the centers of the eggplants, leaving a half-inch shell so they resemble 'canoes'. Cut the center portion into small pieces, and set aside."", 'Preheat the oven to 350 degrees F (175 degrees C).', 'Heat the oil in a large skillet over medium heat. Add the onions and garlic, and saute for a few minutes, until tender. Add the eggplant pieces, and cook until soft, about 5 minutes. Then, stir in the tomato, green pepper, and parsley. Simmer for about 10 minutes.', 'Remove from the heat, and transfer to a large bowl. Stir in the bread crumbs until evenly blended. Divide the mixture evenly between the four eggplant shells. Sprinkle feta cheese over the top. Place the eggplant halves on a baking sheet.', 'Bake for 15 to 20 minutes in the preheated oven, until the tops are browned and the cheese is melted. Serve hot or cold. I prefer them chilled.']",https://www.allrecipes.com/recipe/31818/summer-nights-eggplants/
Fresh Tomato Curry Sauce,"This fresh tomato curry sauce is the best thing to make with sweet, vine-ripened tomatoes after you've eaten your fill of them in their raw state. Simple, beautiful, and amazing, it's shown here with pork, but you can make this sauce for just about anything - chicken, beef, lamb, vegetables, or even pasta. All you need to do is adjust the simmering time.","['4 thin-cut pork chops', 'salt and freshly ground black pepper to taste', '1 pinch cayenne, or to taste', '1 tablespoon avocado oil or clarified butter', '3/4 cup diced yellow onion', '2 tablespoons finely diced jalapeno pepper', '1 tablespoon minced ginger', '3 cloves garlic, sliced', '1/2 teaspoon salt, plus more to taste', '1 teaspoon garam masala', '1/2 teaspoon ground cumin', '1/4 teaspoon ground turmeric', '2 cups roughly chopped fresh tomatoes', '1 teaspoon tamarind paste, or to taste', '1/3 cup water', '2 tablespoons plain yogurt', '1/4 cup sliced red onion', '1/4 cup chopped roasted salted cashews', '1/4 cup freshly torn cilantro leaves']","['Use scissors to snip 4 or 5 small cuts around the edge of each chop to prevent curling. Season chops on both sides with salt, pepper, and cayenne. Add oil to a nonstick skillet over high heat, and sear pork chops on both sides until lightly browned, about 1 1/2 minutes per side. Remove meat to a plate, and reduce heat to medium.', 'Add onions, jalapeno, ginger, garlic, and the 1/2 teaspoon salt to the pan. Cook, stirring, until onions start to turn translucent, 3 to 5 minutes. Add garam masala, cumin, and turmeric and cook, stirring, until spices are fragrant, about 1 minute.', 'Add tomatoes and tamarind, and stir everything together. Add water; simmer until tomatoes completely soften and collapse, about 10 minutes.', 'Place a mesh strainer over a bowl, and pour in the tomato mixture. Press and scrape with the back of a spoon or ladle until only the tomato seeds and skins remain in the strainer.', 'Transfer the strained sauce back into the pan, and add the meat, and any accumulated juices back in. Bring to a gentle simmer over medium heat; then reduce heat to maintain a low simmer, and cook until meat is tender, about 5 minutes.', 'Taste sauce for seasoning, and if desired, serve topped with yogurt, red onion, cashews, and cilantro leaves.']",https://www.allrecipes.com/fresh-tomato-curry-recipe-8690957
Zucchini Roll Lasagna on Turkey Bolognese,"This incredible zucchini roll lasagna doesn't contain any pasta. Instead, thin zucchini strips are rolled around a 3-cheese filling and baked over a savory turkey Bolognese. The presentation is truly next level.","['1 pound ricotta cheese', '1/2 cup packed grated Parmigiano Reggiano cheese', '1 1/2 cups grated mozzarella cheese', '1 large egg', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon kosher salt', '1 pinch cayenne pepper', '2 tablespoons minced Italian parsley', '2 tablespoons olive oil', '12 ounces Italian turkey sausage, casings removed', '1/2 large yellow onion, diced', '1 (24 ounce) jar prepared marinara sauce', '1/2 cup water', '1/4 cup cream', '8 large green zucchini', '1 rounded tablespoon kosher salt', '1/4 cup freshly grated Parmigiano Reggiano cheese', '1/2 cups freshly grated mozzarella cheese', '1 tablespoon olive oil']","['For cheese filling: Place ricotta, Parmigiano Reggiano, mozzarella, egg, black pepper, salt, cayenne, and parsley in a bowl, and stir together until combined; refrigerate until needed.', 'For Bolognese: Heat olive oil over medium-high heat in a large nonstick skillet, and add Italian turkey sausage, onions, and a pinch of salt. Cook, breaking up the sausage with a spatula, until browned and broken into small crumbles, 5 to 7 minutes.', 'Stir in marinara sauce, water, and cream and bring to a simmer. Reduce heat to medium-low and simmer, stirring occasionally, for at least 10 to 15 minutes. Sauce can be cooked longer, adding small amounts of water as needed to maintain consistency.', 'Transfer sauce into a 13x9-inch baking dish and set aside.', 'Preheat the oven to 400 degrees F (200 degrees C).', 'For zucchini rolls: trim ends of zucchini with a knife and then use a vegetable peeler to make lengthwise strips. For best results, use only the largest, widest center-cut pieces. You can also place two thinner pieces overlapped side-by-side. You will need to make a total of 30 zucchini rolls.', 'Lay out zucchini strips on a work surface. Spread each strip with about 2 rounded teaspoons of cheese mixture and roll up.', 'Place filled strips on top of sauce in the baking dish in a 5x6 pattern. Scatter grated Parmigiano Reggiano and grated mozzarella evenly over the top, and drizzle with olive oil.', 'Bake in the preheated oven until sauce is bubbling, and cheese has started to brown, 45 to 60 minutes. Let rest for 5 to 10 minutes before serving.']",https://www.allrecipes.com/zucchini-roll-lasagna-on-turkey-bolognese-recipe-8689910
Berry Custard Pie,"Berries in a light custard sauce. Unbelievably easy to make, with an incredibly decadent taste. Despite that, this recipe is ultra low fat. Can also be made with peaches, or a combination of peaches and raspberries.","['1 cup baking mix', '1 ½ tablespoons white sugar', '⅓ cup milk', '½ teaspoon lemon zest', '1 ½ cups raspberries', '1 cup fresh blackberries', '½ cup fat free sour cream', '2  egg whites', '½ cup white sugar', '3 tablespoons all-purpose flour', '½ teaspoon ground cinnamon', '¼ teaspoon ground nutmeg', '½ teaspoon vanilla extract']","['Combine baking mix, 1 1/2 tablespoons sugar, milk, and lemon zest. Press with floured fingers into the bottom and up the sides of a pie dish that has been sprayed with a nonstick cooking spray. Sprinkle berries onto crust.', 'Combine sour cream, egg whites, 1/2 cup white sugar, flour, spices, and vanilla extract. Pour over fruit. Cover edges of crust with foil.', 'Bake at 450 degrees F (230 degrees C) for 10 minutes. Turn heat down to 350 degrees F (175 degrees C), and bake for 30 minutes, or until center is set.']",https://www.allrecipes.com/recipe/12533/berry-custard-pie/
Raspberry and Strawberry Buckle,"I've always called this a buckle (I'm from the Midwest), but my friends here in California, say it's a 'coffee cake', but no matter the name they love it!","['½ cup butter, softened', '½ cup white sugar', '1  egg', '2 cups all-purpose flour', '2 ½ teaspoons baking powder', '¼ teaspoon salt', '¾ cup nonfat plain yogurt', '1 pint fresh strawberries', '1 pint fresh raspberries', '½ cup white sugar', '½ cup all-purpose flour', '¾ teaspoon ground cinnamon', '½ cup butter']","['Preheat oven to 375 degrees F (190 degrees C). Grease one 11x7 inch glass baking dish.', 'Cream 1/2 cup of the butter or margarine with 1/2 cup of the white sugar until light, beat in the egg. Add the baking powder and the salt. Stir in the 2 cups of flour one cup at a time alternating with the yogurt. Spread batter into the prepared pan. Arrange fruit over top of batter. Sprinkle topping over fruit.', 'To Make Topping: Mix together 1/2 cup white sugar, 1/2 cup flour, 1/2 cup butter or margarine, and the cinnamon until the mixture resembles coarse crumbs.', 'Bake at 375 degrees F (190 degrees C) for 1 hour and 15 minutes or until the cake is top is puffed and nicely browned. Allow cake to cool. You can serve it directly from the baking dish or for a more attractive presentation, I cut it up into squares and arrange them on a platter.']",https://www.allrecipes.com/recipe/7603/raspberry-and-strawberry-buckle/
Copycat Panda Express Orange Chicken,"Try this copycat recipe to make Panda Express orange chicken with its signature citrusy sweet and tangy flavor at home. It's all in the sauce which features orange juice, orange zest, brown sugar, soy sauce, vinegar, and red chili peppers.","['2 cups flour', '1/2 cup cornstarch', '2 teaspoons salt', '1/2 teaspoon white pepper', '1 large egg', '1 cup water', '2 tablespoons peanut or canola oil, divided', '2 pounds boneless skinless chicken thighs, cut into 1-inch pieces', '2 cups peanut oil, or as needed, for frying', '1 tablespoon sesame oil, divided', '1/4 teaspoon crushed red pepper', '2 teaspoons minced ginger', '2 teaspoons minced garlic', '1/4 cup brown sugar', '1/4 cup fresh orange juice', '1/4 cup white vinegar', '2 tablespoons soy sauce', '2 tablespoons cornstarch', '3 cups cooked rice, or as needed', 'sliced green onions for garnish', 'sesame seeds for garnish (optional)', '1 teaspoon orange zest']","['Whisk together flour, cornstarch, salt, and white pepper in a large bowl.\xa0 Add egg, water, and 1 1/2 tablespoons oil and stir to combine (mixture will be like a sticky batter).\xa0Add chicken pieces to batter and toss well to coat.\xa0Let chicken stand in refrigerator while oil heats.', 'Pour oil into a deep saucepan filled about 2 inches deep.\xa0Heat oil to 375 degrees C (190 degrees F).', 'Meanwhile, for the sauce heat remaining oil and 2 teaspoons sesame oil in a large skillet over medium-high heat.\xa0Add crushed red pepper, ginger, and garlic and cook, stirring constantly, until fragrant, about 30 seconds. Stir in brown sugar, orange juice, vinegar, and soy sauce and bring mixture to a boil, stirring often.', 'Combine 3 tablespoons cold water with cornstarch in a small bowl and stir until cornstarch is dissolved.\xa0Pour mixture into saucepan and stir to combine.\xa0Bring mixture to a boil and reduce to simmer, stirring constantly until sauce thickens.\xa0Turn heat off and keep warm while chicken is cooking.', 'Working in batches, add coated chicken pieces carefully to the hot oil.\xa0Oil temperature will reduce when food is added. Cook chicken at 350 degrees F (175 degrees C), stirring occasionally, until golden brown and crispy, 5 to 6 minutes. Remove chicken with a slotted spoon and drain on a wire rack set over paper towels.\xa0Bring oil temperature back up to 365 to 375 degrees F (185 to 190 degrees C) and repeat process with remaining chicken.', 'Return sauce mixture to medium heat, add more water if necessary if sauce thickens too much.\xa0Once hot, add in cooked chicken pieces and toss well to coat.\xa0Stir in remaining sesame oil and orange zest and serve over hot cooked rice.\xa0Garnish with green onions and sesame seeds if desired.']",https://www.allrecipes.com/copycat-panda-express-orange-chicken-recipe-8687732
Plant Based Cheese Sprinkles,"These plant-based cheese sprinkles came about because lately I’ve started experimenting with more plant-based food, and the most difficult part for me is giving up cheese. Most plant-based cheese is heavily processed, so I concocted these cheese-like sprinkles, which surprisingly work to cure my craving!","['1/2 cup cashews', '1/2 cup nutritional yeast', '1 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon salt']","['Place cashews in a food processor. Pulse until tiny crumbs form. Remove the lid and add the nutritional yeast, garlic powder, onion powder, and salt. Pulse just a few more times until combined, and mixture has a crumb texture but is not yet a powder.']",https://www.allrecipes.com/plant-based-cheese-sprinkles-recipe-8685649
Honey Roasted Beets,"These honey roasted beets combine the natural earthiness of beets with a hint of sweetness. If you like beets, you will love these. Serve them warm or at room temperature as a side, or add to your favorite vegetable salad.","['3 large beets', '1 tablespoon olive oil', '1 pinch salt', '2 tablespoons honey']","['Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.', 'Cut stems and leaves from beets and wash well. With skin on, cut beets into chunks. Toss beets in olive oil and sprinkle with salt. Spread beets in an even layer on the prepared baking sheet.', 'Roast in the preheated oven for 30 minutes.', 'Remove from the oven and drizzle with honey. Using a wooden spoon, stir beets to coat completely with honey, then spread them back out on the pan.', 'Continue roasting until tender, about 15 minutes. Allow to cool.']",https://www.allrecipes.com/honey-roasted-beets-recipe-8687087
